event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:sat-id,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:transmission-timestamp,argos:valid-location-algorithm,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
17136260325,true,2009-08-02 13:50:25.000,-139.07435,69.61663,,0.104,-125.0,4.016774965E8,397.0,248,"11",69.61663,74.65477,"2",-139.07435,-165.56525,10,0,1,103.0,682.0,"NN",1714.0,91.0,13,4,312,2009-08-02 13:53:01.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136257819,true,2009-08-03 13:08:50.000,-139.07708,69.5794,,0.09,-127.0,4.01677497E8,255.0,611,"11",69.5794,59.46307,"2",-139.07708,-78.98687,4,0,3,95.0,310.0,"NK",391.0,166.0,12,4,292,2009-08-03 13:06:15.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136264466,true,2009-08-04 14:25:33.000,-139.12746,69.61215,,0.149,-123.0,4.016774875E8,341.0,194,"11",69.61215,64.37944,"2",-139.12746,-109.28564,11,0,3,92.0,620.0,"NK",1521.0,76.0,22,4,372,2009-08-04 14:25:34.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136255575,true,2009-08-05 16:26:42.000,-139.15265,69.62074,,0.088,-128.0,4.016774818E8,217.0,335,"11",69.62074,85.94524,"3",-139.15265,116.57955,8,0,4,80.0,434.0,"NP",592.0,79.0,21,4,276,2009-08-05 16:24:08.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136254902,true,2009-08-06 14:48:48.000,-139.11752,69.595,,0.147,-128.0,4.01677493E8,407.0,243,"11",69.595,79.10162,"2",-139.11752,170.36115,9,0,3,93.0,496.0,"NN",999.0,165.0,8,4,272,2009-08-06 14:51:54.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136265242,true,2009-08-07 16:06:02.000,-139.09944,69.58123,,0.107,-128.0,4.016774958E8,370.0,379,"11",69.58123,84.5128,"2",-139.09944,132.28849,6,0,1,83.0,496.0,"NP",1384.0,99.0,12,3,444,2009-08-07 16:03:59.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136265229,true,2009-08-08 16:07:20.000,-139.04152,69.57836,,0.036,-136.0,4.016774766E8,237.0,522,"11",69.57836,85.30785,"3",-139.04152,128.94854,4,0,4,86.0,310.0,"NN",975.0,57.0,26,4,432,2009-08-08 16:06:49.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136250068,true,2009-08-09 15:38:39.000,-139.06328,69.61173,,0.092,-130.0,4.016775055E8,213.0,242,"11",69.61173,64.09019,"3",-139.06328,-109.84021,8,0,3,96.0,496.0,"NL",753.0,60.0,3,3,240,2009-08-09 15:39:42.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136251718,true,2009-08-10 14:06:26.000,-139.12283,69.61251,,0.15,-130.0,4.016774816E8,228.0,353,"11",69.61251,75.88731,"3",-139.12283,-172.50342,6,0,2,90.0,372.0,"NN",639.0,81.0,19,4,252,2009-08-10 14:05:24.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
17136253558,true,2009-08-11 15:34:00.000,-139.09667,69.58172,,0.108,-134.0,4.016774896E8,341.0,870,"11",69.58172,83.01899,"2",-139.09667,146.1234,4,0,4,108.0,248.0,"NN",1761.0,66.0,23,4,264,2009-08-11 15:31:57.000,"1","argos-doppler-shift","Vulpes lagopus","83762","RBRB","Arctic fox Herschel - Argos tracking"
